,variable,accuracy,simulation
431,77,0.35,4
432,78,0.22,4
433,79,0.16,4
434,80,0.36,4
435,81,0.38,4
436,82,0.43,4
437,83,0.4,4
438,84,0.42,4
439,85,0.25,4
440,86,0.38,4
441,87,0.43,4
442,88,0.38,4
443,89,0.42,4
444,90,0.39,4
445,0,0.13,5
446,2,0.19,5
447,3,0.18,5
448,4,0.19,5
449,5,0.22,5
450,6,0.26,5
451,7,0.19,5
452,8,0.16,5
453,9,0.25,5
454,10,0.23,5
455,11,0.24,5
456,13,0.29,5
457,14,0.24,5
458,15,0.25,5
459,16,0.26,5
460,17,0.32,5
461,18,0.2,5
462,19,0.27,5
463,20,0.29,5
464,21,0.27,5
465,22,0.32,5
466,23,0.31,5
467,24,0.31,5
468,25,0.22,5
469,26,0.36,5
470,27,0.16,5
471,28,0.27,5
472,29,0.23,5
473,30,0.2,5
474,31,0.28,5
475,32,0.28,5
476,33,0.28,5
477,34,0.35,5
478,35,0.22,5
479,36,0.39,5
480,37,0.28,5
481,38,0.2,5
482,39,0.17,5
483,40,0.24,5
484,41,0.24,5
485,42,0.32,5
486,43,0.32,5
487,44,0.13,5
488,45,0.28,5
489,46,0.38,5
490,47,0.38,5
491,48,0.27,5
492,49,0.34,5
493,50,0.29,5
494,51,0.32,5
495,52,0.32,5
496,53,0.33,5
497,54,0.37,5
498,55,0.39,5
499,56,0.32,5
500,57,0.29,5
501,58,0.41,5
502,59,0.17,5
503,60,0.2,5
504,61,0.36,5
505,62,0.29,5
506,63,0.34,5
507,64,0.31,5
508,65,0.4,5
509,66,0.43,5
510,67,0.34,5
511,68,0.38,5
512,69,0.24,5
513,70,0.38,5
514,71,0.4,5
515,72,0.38,5
516,73,0.18,5
517,74,0.32,5
518,75,0.42,5
519,76,0.22,5
520,77,0.21,5
521,78,0.42,5
522,79,0.18,5
523,80,0.35,5
524,81,0.38,5
525,82,0.23,5
526,83,0.42,5
527,84,0.2,5
528,85,0.33,5
529,86,0.28,5
530,87,0.45,5
531,88,0.35,5
532,89,0.39,5
533,90,0.37,5
534,1,0.33,6
535,2,0.22,6
536,3,0.19,6
537,4,0.27,6
538,5,0.17,6
539,6,0.29,6
540,7,0.3,6
541,8,0.25,6
542,9,0.2,6
543,10,0.23,6
544,11,0.22,6
545,12,0.26,6
546,13,0.17,6
547,14,0.29,6
548,15,0.21,6
549,16,0.28,6
550,18,0.27,6
551,19,0.28,6
552,20,0.2,6
553,21,0.26,6
554,22,0.19,6
555,23,0.25,6
556,24,0.27,6
557,25,0.19,6
558,26,0.32,6
559,27,0.3,6
560,28,0.25,6
561,29,0.26,6
562,30,0.25,6
563,31,0.28,6
564,32,0.24,6
565,33,0.28,6
566,34,0.34,6
567,35,0.27,6
568,36,0.39,6
569,37,0.24,6
570,38,0.2,6
571,39,0.34,6
572,40,0.28,6
573,41,0.38,6
574,42,0.31,6
575,43,0.31,6
576,44,0.33,6
577,45,0.3,6
578,46,0.19,6
579,47,0.35,6
580,48,0.31,6
581,49,0.24,6
582,50,0.24,6
583,51,0.37,6
584,52,0.33,6
585,53,0.36,6
586,54,0.31,6
587,55,0.35,6
588,56,0.35,6
589,57,0.38,6
590,58,0.37,6
591,59,0.37,6
592,60,0.27,6
593,61,0.32,6
594,62,0.35,6
595,63,0.37,6
596,64,0.2,6
597,65,0.3,6
598,66,0.25,6
599,67,0.36,6
600,68,0.31,6
601,69,0.38,6
602,70,0.37,6
603,71,0.25,6
604,72,0.35,6
605,73,0.31,6
606,74,0.38,6
607,75,0.32,6
608,76,0.32,6
609,77,0.3,6
610,78,0.42,6
611,79,0.39,6
612,80,0.37,6
613,81,0.29,6
614,82,0.39,6
615,83,0.37,6
616,84,0.43,6
617,85,0.4,6
618,86,0.26,6
619,87,0.36,6
620,88,0.38,6
621,89,0.44,6
622,90,0.41,6
623,2,0.26,7
624,3,0.16,7
625,4,0.15,7
626,5,0.21,7
627,6,0.2,7
628,7,0.22,7
629,8,0.21,7
630,9,0.26,7
631,10,0.27,7
632,11,0.2,7
633,12,0.2,7
634,13,0.26,7
635,14,0.3,7
636,15,0.19,7
637,16,0.22,7
638,17,0.22,7
639,18,0.35,7
640,19,0.26,7
641,20,0.21,7
642,21,0.21,7
643,22,0.2,7
644,23,0.22,7
645,24,0.21,7
646,25,0.3,7
647,26,0.22,7
648,27,0.29,7
649,28,0.27,7
650,29,0.31,7
651,30,0.15,7
652,31,0.26,7
653,32,0.23,7
654,33,0.27,7
655,34,0.34,7
656,35,0.26,7
657,36,0.29,7
658,37,0.25,7
659,38,0.29,7
660,39,0.3,7
661,40,0.27,7
662,41,0.26,7
663,42,0.27,7
664,43,0.15,7
665,44,0.33,7
666,45,0.23,7
667,46,0.27,7
668,47,0.31,7
669,48,0.31,7
670,49,0.2,7
671,50,0.28,7
672,51,0.28,7
673,52,0.28,7
674,53,0.18,7
675,54,0.35,7
676,55,0.29,7
677,56,0.38,7
678,57,0.38,7
679,58,0.38,7
680,59,0.37,7
681,60,0.27,7
682,61,0.31,7
683,62,0.38,7
684,63,0.42,7
685,64,0.39,7
686,65,0.32,7
687,66,0.26,7
688,67,0.33,7
689,68,0.36,7
690,69,0.39,7
691,70,0.21,7
692,71,0.24,7
693,72,0.25,7
694,73,0.39,7
695,74,0.38,7
696,75,0.41,7
697,76,0.32,7
698,77,0.46,7
699,78,0.34,7
700,79,0.37,7
701,80,0.24,7
702,81,0.37,7
703,82,0.38,7
704,83,0.39,7
705,84,0.37,7
706,85,0.4,7
707,86,0.38,7
708,87,0.24,7
709,88,0.37,7
710,89,0.45,7
711,90,0.33,7
712,0,0.15,8
713,1,0.23,8
714,2,0.18,8
715,3,0.24,8
716,4,0.14,8
717,5,0.23,8
718,6,0.21,8
719,7,0.21,8
720,8,0.24,8
721,9,0.26,8
722,10,0.26,8
723,11,0.18,8
724,12,0.26,8
725,13,0.17,8
726,14,0.2,8
727,15,0.29,8
728,16,0.28,8
729,17,0.25,8
730,18,0.26,8
731,19,0.23,8
732,20,0.26,8
733,21,0.16,8
734,22,0.22,8
735,23,0.17,8
736,24,0.3,8
737,25,0.25,8
738,26,0.26,8
739,27,0.24,8
740,28,0.25,8
741,29,0.25,8
742,30,0.24,8
743,31,0.28,8
744,32,0.33,8
745,33,0.27,8
746,34,0.26,8
747,35,0.36,8
748,36,0.3,8
749,37,0.26,8
750,38,0.31,8
751,39,0.16,8
752,40,0.29,8
753,41,0.37,8
754,42,0.25,8
755,43,0.26,8
756,44,0.28,8
757,45,0.33,8
758,46,0.26,8
759,47,0.31,8
760,48,0.25,8
761,49,0.31,8
762,50,0.31,8
763,51,0.35,8
764,52,0.29,8
765,53,0.24,8
766,54,0.3,8
767,55,0.18,8
768,56,0.28,8
769,57,0.24,8
770,58,0.29,8
771,59,0.33,8
772,60,0.26,8
773,61,0.37,8
774,62,0.31,8
775,63,0.31,8
776,64,0.28,8
777,65,0.3,8
778,66,0.33,8
779,67,0.13,8
780,68,0.33,8
781,69,0.33,8
782,70,0.23,8
783,71,0.28,8
784,72,0.39,8
785,73,0.43,8
786,74,0.38,8
787,75,0.42,8
788,76,0.22,8
789,77,0.43,8
790,78,0.32,8
791,79,0.38,8
792,80,0.24,8
793,81,0.41,8
794,82,0.34,8
795,83,0.32,8
796,84,0.32,8
797,85,0.38,8
798,86,0.34,8
799,87,0.48,8
800,88,0.49,8
801,89,0.4,8
802,90,0.38,8
803,1,0.21,9
804,2,0.31,9
805,4,0.2,9
806,6,0.31,9
807,7,0.24,9
808,8,0.2,9
809,9,0.15,9
810,10,0.21,9
811,11,0.23,9
812,12,0.24,9
813,13,0.2,9
814,14,0.27,9
815,15,0.25,9
816,16,0.18,9
817,17,0.28,9
818,18,0.29,9
819,19,0.2,9
820,20,0.2,9
821,21,0.28,9
822,22,0.2,9
823,23,0.18,9
824,24,0.26,9
825,25,0.2,9
826,26,0.3,9
827,27,0.22,9
828,28,0.27,9
829,29,0.3,9
830,30,0.27,9
831,31,0.28,9
832,32,0.28,9
833,33,0.31,9
834,34,0.24,9
835,35,0.26,9
836,36,0.23,9
837,37,0.37,9
838,38,0.3,9
839,39,0.32,9
840,40,0.35,9
841,41,0.25,9
842,42,0.2,9
843,43,0.33,9
844,44,0.24,9
845,45,0.28,9
846,46,0.23,9
847,47,0.28,9
848,48,0.41,9
849,49,0.29,9
850,50,0.31,9
851,51,0.3,9
852,52,0.38,9
853,53,0.4,9
854,54,0.34,9
855,55,0.38,9
856,56,0.32,9
857,57,0.18,9
858,58,0.36,9
859,59,0.4,9
860,60,0.16,9
861,61,0.37,9
862,62,0.42,9
863,63,0.46,9
864,64,0.34,9
