,workers,accuracy,simulation
534,77,0.33,6
535,78,0.2,6
536,79,0.2,6
537,80,0.31,6
538,81,0.3,6
539,82,0.2,6
540,83,0.28,6
541,84,0.38,6
542,85,0.19,6
543,86,0.32,6
544,87,0.2,6
545,88,0.3,6
546,89,0.3,6
547,90,0.27,6
548,91,0.3,6
549,92,0.3,6
550,93,0.3,6
551,94,0.2,6
552,95,0.31,6
553,96,0.32,6
554,97,0.26,6
555,98,0.21,6
556,99,0.22,6
557,19,0.34,7
558,20,0.31,7
559,22,0.2,7
560,23,0.27,7
561,24,0.33,7
562,25,0.28,7
563,26,0.3,7
564,27,0.23,7
565,28,0.3,7
566,29,0.38,7
567,30,0.23,7
568,31,0.31,7
569,32,0.25,7
570,33,0.32,7
571,34,0.26,7
572,35,0.25,7
573,36,0.34,7
574,37,0.34,7
575,38,0.25,7
576,39,0.27,7
577,40,0.33,7
578,41,0.3,7
579,42,0.29,7
580,43,0.22,7
581,44,0.28,7
582,45,0.28,7
583,46,0.23,7
584,47,0.33,7
585,48,0.15,7
586,49,0.24,7
587,50,0.22,7
588,51,0.24,7
589,52,0.28,7
590,53,0.23,7
591,54,0.35,7
592,55,0.24,7
593,56,0.18,7
594,57,0.34,7
595,58,0.31,7
596,59,0.28,7
597,60,0.34,7
598,61,0.28,7
599,62,0.22,7
600,63,0.35,7
601,64,0.26,7
602,65,0.32,7
603,66,0.22,7
604,67,0.32,7
605,68,0.3,7
606,69,0.27,7
607,70,0.4,7
608,71,0.26,7
609,72,0.3,7
610,73,0.28,7
611,74,0.29,7
612,75,0.31,7
613,76,0.17,7
614,77,0.27,7
615,78,0.31,7
616,79,0.2,7
617,80,0.26,7
618,81,0.24,7
619,82,0.3,7
620,83,0.31,7
621,84,0.26,7
622,85,0.27,7
623,86,0.23,7
624,87,0.2,7
625,88,0.34,7
626,89,0.34,7
627,90,0.27,7
628,91,0.38,7
629,92,0.33,7
630,93,0.23,7
631,94,0.22,7
632,95,0.29,7
633,96,0.28,7
634,97,0.32,7
635,98,0.35,7
636,99,0.2,7
637,19,0.27,8
638,21,0.21,8
639,22,0.3,8
640,24,0.25,8
641,25,0.39,8
642,26,0.18,8
643,27,0.25,8
644,28,0.27,8
645,29,0.19,8
646,30,0.34,8
647,31,0.24,8
648,32,0.34,8
649,33,0.27,8
650,34,0.2,8
651,35,0.32,8
652,36,0.32,8
653,37,0.27,8
654,38,0.29,8
655,39,0.22,8
656,40,0.25,8
657,41,0.3,8
658,42,0.28,8
659,43,0.12,8
660,44,0.39,8
661,45,0.25,8
662,46,0.36,8
663,47,0.25,8
664,48,0.25,8
665,49,0.21,8
666,50,0.25,8
667,51,0.26,8
668,52,0.28,8
669,53,0.32,8
670,54,0.31,8
671,55,0.15,8
672,56,0.28,8
673,57,0.39,8
674,58,0.34,8
675,59,0.26,8
676,60,0.26,8
677,61,0.29,8
678,62,0.33,8
679,63,0.33,8
680,64,0.18,8
681,65,0.28,8
682,66,0.17,8
683,67,0.25,8
684,68,0.22,8
685,69,0.23,8
