,variable,accuracy,simulation
123,61,0.30158730158730157,1
124,62,0.359375,1
125,63,0.26153846153846155,1
126,64,0.25757575757575757,1
127,65,0.29850746268656714,1
128,66,0.29411764705882354,1
129,67,0.2318840579710145,1
130,68,0.21428571428571427,1
131,69,0.30985915492957744,1
132,70,0.3055555555555556,1
133,71,0.4246575342465753,1
134,72,0.1891891891891892,1
135,73,0.24,1
136,74,0.2236842105263158,1
137,75,0.2727272727272727,1
138,76,0.1282051282051282,1
139,77,0.1518987341772152,1
140,78,0.3375,1
141,79,0.25925925925925924,1
142,80,0.4146341463414634,1
143,81,0.3493975903614458,1
144,82,0.2619047619047619,1
145,83,0.3176470588235294,1
146,84,0.3372093023255814,1
147,85,0.3218390804597701,1
148,86,0.29545454545454547,1
149,87,0.21348314606741572,1
150,88,0.37777777777777777,1
151,89,0.18681318681318682,1
152,90,0.31521739130434784,1
153,91,0.2903225806451613,1
154,92,0.26595744680851063,1
155,93,0.29473684210526313,1
156,94,0.3645833333333333,1
157,95,0.30927835051546393,1
158,96,0.17346938775510204,1
159,97,0.3434343434343434,1
160,98,0.26,1
161,8,0.7,2
162,13,0.26666666666666666,2
163,14,0.375,2
164,15,0.5294117647058824,2
165,18,0.35,2
166,19,0.42857142857142855,2
167,21,0.34782608695652173,2
168,22,0.5416666666666666,2
169,25,0.25925925925925924,2
170,26,0.17857142857142858,2
171,29,0.3225806451612903,2
172,30,0.34375,2
173,31,0.36363636363636365,2
174,32,0.35294117647058826,2
175,33,0.2857142857142857,2
176,34,0.25,2
177,35,0.40540540540540543,2
178,36,0.21052631578947367,2
179,37,0.4358974358974359,2
180,38,0.175,2
181,39,0.2926829268292683,2
182,41,0.3953488372093023,2
183,42,0.36363636363636365,2
184,43,0.2222222222222222,2
185,44,0.3695652173913043,2
186,45,0.2978723404255319,2
187,46,0.3333333333333333,2
188,47,0.2857142857142857,2
189,48,0.32,2
190,49,0.23529411764705882,2
191,50,0.3076923076923077,2
192,51,0.4528301886792453,2
193,52,0.24074074074074073,2
194,53,0.18181818181818182,2
195,54,0.25,2
196,55,0.3157894736842105,2
197,56,0.2413793103448276,2
198,57,0.3389830508474576,2
199,58,0.2833333333333333,2
200,59,0.36065573770491804,2
201,60,0.22580645161290322,2
202,61,0.19047619047619047,2
203,62,0.3125,2
204,63,0.23076923076923078,2
205,64,0.25757575757575757,2
206,65,0.3283582089552239,2
207,66,0.27941176470588236,2
208,67,0.2463768115942029,2
209,68,0.2857142857142857,2
210,69,0.43661971830985913,2
211,70,0.2638888888888889,2
212,71,0.1506849315068493,2
213,72,0.2972972972972973,2
214,73,0.30666666666666664,2
215,74,0.34210526315789475,2
216,75,0.19480519480519481,2
217,76,0.32051282051282054,2
218,77,0.25316455696202533,2
219,78,0.2875,2
220,79,0.25925925925925924,2
221,80,0.3780487804878049,2
222,81,0.3493975903614458,2
223,82,0.2619047619047619,2
224,83,0.32941176470588235,2
225,84,0.26744186046511625,2
226,85,0.28735632183908044,2
227,86,0.3068181818181818,2
228,87,0.2696629213483146,2
229,88,0.3111111111111111,2
230,89,0.31868131868131866,2
231,90,0.2826086956521739,2
232,91,0.3225806451612903,2
233,92,0.2765957446808511,2
234,93,0.30526315789473685,2
235,94,0.23958333333333334,2
236,95,0.36082474226804123,2
237,96,0.23469387755102042,2
238,97,0.21212121212121213,2
239,98,0.33,2
240,18,0.35,3
241,20,0.45454545454545453,3
242,21,0.391304347826087,3
243,22,0.3333333333333333,3
244,23,0.52,3
245,24,0.38461538461538464,3
246,25,0.25925925925925924,3
247,26,0.25,3
248,27,0.3103448275862069,3
249,28,0.3,3
250,29,0.4838709677419355,3
251,30,0.21875,3
252,31,0.30303030303030304,3
253,32,0.38235294117647056,3
254,33,0.2857142857142857,3
255,34,0.3055555555555556,3
256,35,0.32432432432432434,3
257,36,0.15789473684210525,3
258,37,0.3333333333333333,3
259,38,0.4,3
260,39,0.2682926829268293,3
261,40,0.3333333333333333,3
262,41,0.27906976744186046,3
263,42,0.38636363636363635,3
264,43,0.24444444444444444,3
265,44,0.41304347826086957,3
266,46,0.1875,3
267,47,0.30612244897959184,3
268,48,0.2,3
269,49,0.3137254901960784,3
270,50,0.25,3
271,51,0.3018867924528302,3
272,52,0.2037037037037037,3
273,53,0.3090909090909091,3
274,54,0.39285714285714285,3
275,55,0.22807017543859648,3
276,56,0.2413793103448276,3
277,57,0.3220338983050847,3
278,58,0.31666666666666665,3
279,59,0.26229508196721313,3
280,60,0.3548387096774194,3
281,61,0.20634920634920634,3
282,62,0.234375,3
283,63,0.4,3
284,64,0.3333333333333333,3
285,65,0.40298507462686567,3
286,66,0.29411764705882354,3
287,67,0.37681159420289856,3
288,68,0.3,3
289,69,0.352112676056338,3
290,70,0.20833333333333334,3
291,71,0.3013698630136986,3
292,72,0.33783783783783783,3
293,73,0.22666666666666666,3
294,74,0.4605263157894737,3
295,75,0.2857142857142857,3
296,76,0.2948717948717949,3
297,77,0.24050632911392406,3
298,78,0.275,3
299,79,0.2222222222222222,3
300,80,0.36585365853658536,3
301,81,0.21686746987951808,3
302,82,0.25,3
303,83,0.15294117647058825,3
304,84,0.37209302325581395,3
305,85,0.27586206896551724,3
306,86,0.29545454545454547,3
307,87,0.38202247191011235,3
308,88,0.36666666666666664,3
309,89,0.25274725274725274,3
310,90,0.31521739130434784,3
311,91,0.3870967741935484,3
312,92,0.26595744680851063,3
313,93,0.3157894736842105,3
314,94,0.20833333333333334,3
315,95,0.3917525773195876,3
316,96,0.20408163265306123,3
317,97,0.24242424242424243,3
318,98,0.34,3
319,10,0.25,4
320,13,0.2,4
321,14,0.4375,4
322,15,0.29411764705882354,4
323,16,0.3888888888888889,4
324,18,0.2,4
325,19,0.2857142857142857,4
326,20,0.4090909090909091,4
327,21,0.30434782608695654,4
328,22,0.20833333333333334,4
329,24,0.38461538461538464,4
330,25,0.3333333333333333,4
331,26,0.39285714285714285,4
332,27,0.5172413793103449,4
333,28,0.4,4
334,29,0.25806451612903225,4
335,30,0.28125,4
336,32,0.17647058823529413,4
337,33,0.3142857142857143,4
338,34,0.4722222222222222,4
339,35,0.32432432432432434,4
340,36,0.3684210526315789,4
341,37,0.3333333333333333,4
342,38,0.275,4
343,39,0.36585365853658536,4
344,40,0.3333333333333333,4
345,41,0.3023255813953488,4
346,42,0.4318181818181818,4
347,43,0.37777777777777777,4
348,44,0.30434782608695654,4
349,45,0.3404255319148936,4
350,46,0.25,4
351,47,0.24489795918367346,4
352,48,0.3,4
353,49,0.27450980392156865,4
354,50,0.21153846153846154,4
355,51,0.41509433962264153,4
356,52,0.24074074074074073,4
357,53,0.38181818181818183,4
358,54,0.30357142857142855,4
359,55,0.2807017543859649,4
360,56,0.25862068965517243,4
361,57,0.288135593220339,4
362,58,0.16666666666666666,4
363,59,0.32786885245901637,4
364,60,0.3387096774193548,4
365,61,0.20634920634920634,4
366,62,0.21875,4
367,63,0.35384615384615387,4
368,64,0.3333333333333333,4
369,65,0.2835820895522388,4
370,66,0.29411764705882354,4
371,67,0.2028985507246377,4
372,68,0.22857142857142856,4
373,69,0.323943661971831,4
374,70,0.2222222222222222,4
375,71,0.1780821917808219,4
376,72,0.2972972972972973,4
