total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
80,30,0.8,0.4,3,7,0.9625
80,30,0.8,0.4,5,3,0.9625
80,30,0.8,0.4,5,5,0.9225
80,30,0.8,0.4,5,7,0.9825
80,30,0.8,0.4,7,3,0.9446
80,30,0.8,0.4,7,5,0.9696
80,30,0.8,0.4,7,7,0.9589
80,30,0.8,0.6,3,3,0.9708
80,30,0.8,0.6,3,5,0.9583
80,30,0.8,0.6,3,7,0.9667
80,30,0.8,0.6,5,3,0.9625
80,30,0.8,0.6,5,5,0.955
80,30,0.8,0.6,5,7,0.9675
80,30,0.8,0.6,7,3,0.0
80,30,0.8,0.6,7,5,0.0
80,30,0.8,0.6,7,7,0.9679
80,40,0.2,0.4,3,3,0.9542
80,40,0.2,0.4,3,5,0.975
80,40,0.2,0.4,3,7,0.9583
80,40,0.2,0.4,5,3,0.9575
80,40,0.2,0.4,5,5,0.9625
80,40,0.2,0.4,5,7,0.965
80,40,0.2,0.4,7,3,0.9321
80,40,0.2,0.4,7,5,0.975
80,40,0.2,0.4,7,7,0.9589
80,40,0.2,0.6,3,3,0.975
80,40,0.2,0.6,3,5,0.9708
80,40,0.2,0.6,3,7,0.9542
80,40,0.2,0.6,5,3,0.95
80,40,0.2,0.6,5,5,0.98
80,40,0.2,0.6,5,7,0.96
80,40,0.2,0.6,7,3,0.9679
80,40,0.2,0.6,7,5,0.9696
80,40,0.2,0.6,7,7,0.9589
80,40,0.4,0.4,3,3,0.9417
80,40,0.4,0.4,3,5,0.9667
80,40,0.4,0.4,3,7,0.9708
80,40,0.4,0.4,5,3,0.9525
80,40,0.4,0.4,5,5,0.97
80,40,0.4,0.4,5,7,0.9575
80,40,0.4,0.4,7,3,0.9768
80,40,0.4,0.4,7,5,0.9661
80,40,0.4,0.4,7,7,0.9589
80,40,0.4,0.6,3,3,0.9333
80,40,0.4,0.6,3,5,0.9542
80,40,0.4,0.6,3,7,0.9625
80,40,0.4,0.6,5,3,0.93
80,40,0.4,0.6,5,5,0.9575
80,40,0.4,0.6,5,7,0.9475
80,40,0.4,0.6,7,3,0.9679
80,40,0.4,0.6,7,5,0.9625
80,40,0.4,0.6,7,7,0.9786
80,40,0.6,0.4,3,3,0.9375
80,40,0.6,0.4,3,5,0.9708
80,40,0.6,0.4,3,7,0.9542
80,40,0.6,0.4,5,3,0.935
80,40,0.6,0.4,5,5,0.9525
80,40,0.6,0.4,5,7,0.975
80,40,0.6,0.4,7,3,0.9518
80,40,0.6,0.4,7,5,0.9464
80,40,0.6,0.4,7,7,0.9661
80,40,0.6,0.6,3,3,0.95
80,40,0.6,0.6,3,5,0.95
80,40,0.6,0.6,3,7,0.9708
80,40,0.6,0.6,5,3,0.97
80,40,0.6,0.6,5,5,0.9675
80,40,0.6,0.6,5,7,0.96
80,40,0.6,0.6,7,3,0.9786
80,40,0.6,0.6,7,5,0.9643
80,40,0.6,0.6,7,7,0.9732
80,40,0.8,0.4,3,3,0.9542
80,40,0.8,0.4,3,5,0.9208
80,40,0.8,0.4,3,7,0.9625
80,40,0.8,0.4,5,3,0.935
80,40,0.8,0.4,5,5,0.9575
80,40,0.8,0.4,5,7,0.935
80,40,0.8,0.4,7,3,0.9411
80,40,0.8,0.4,7,5,0.9607
80,40,0.8,0.4,7,7,0.95
80,40,0.8,0.6,3,3,0.9667
80,40,0.8,0.6,3,5,0.9542
80,40,0.8,0.6,3,7,0.9417
80,40,0.8,0.6,5,3,0.96
80,40,0.8,0.6,5,5,0.9625
80,40,0.8,0.6,5,7,0.975
80,40,0.8,0.6,7,3,0.9571
80,40,0.8,0.6,7,5,0.9518
80,40,0.8,0.6,7,7,0.9714
100,30,0.2,0.4,3,3,0.9667
100,30,0.2,0.4,3,5,0.97
100,30,0.2,0.4,3,7,0.9633
100,30,0.2,0.4,5,3,0.946
100,30,0.2,0.4,5,5,0.96
100,30,0.2,0.4,5,7,0.964
100,30,0.2,0.4,7,3,0.0
100,30,0.2,0.4,7,5,0.9486
100,30,0.2,0.4,7,7,0.9829
100,30,0.2,0.6,3,3,0.9733
100,30,0.2,0.6,3,5,0.9733
100,30,0.2,0.6,3,7,0.97
100,30,0.2,0.6,5,3,0.946
100,30,0.2,0.6,5,5,0.962
100,30,0.2,0.6,5,7,0.958
100,30,0.2,0.6,7,3,0.0
100,30,0.2,0.6,7,5,0.9729
100,30,0.2,0.6,7,7,0.97
100,30,0.4,0.4,3,3,0.9367
100,30,0.4,0.4,3,5,0.9633
100,30,0.4,0.4,3,7,0.9567
100,30,0.4,0.4,5,3,0.96
100,30,0.4,0.4,5,5,0.978
100,30,0.4,0.4,5,7,0.962
100,30,0.4,0.4,7,3,0.9514
100,30,0.4,0.4,7,5,0.9757
100,30,0.4,0.4,7,7,0.9786
100,30,0.4,0.6,3,3,0.93
100,30,0.4,0.6,3,5,0.9633
100,30,0.4,0.6,3,7,0.97
100,30,0.4,0.6,5,3,0.95
