,0,1,2,3,4,5,6,7
66,60,20,0.2,7,0.7,0.3,,
67,60,20,0.2,7,0.7,0.5,,
68,60,20,0.2,7,0.7,0.7,,
69,60,20,0.2,7,0.7,0.9,,
70,60,20,0.2,7,0.9,0.1,,
71,60,20,0.2,7,0.9,0.3,,
72,60,20,0.2,7,0.9,0.5,,
73,60,20,0.2,7,0.9,0.7,,
74,60,20,0.2,7,0.9,0.9,,
75,60,20,0.2,9,0.1,0.1,,
76,60,20,0.2,9,0.1,0.3,,
77,60,20,0.2,9,0.1,0.5,,
78,60,20,0.2,9,0.1,0.7,,
79,60,20,0.2,9,0.1,0.9,,
80,60,20,0.2,9,0.3,0.1,,
81,60,20,0.2,9,0.3,0.3,,
82,60,20,0.2,9,0.3,0.5,,
83,60,20,0.2,9,0.3,0.7,,
84,60,20,0.2,9,0.3,0.9,,
85,60,20,0.2,9,0.5,0.1,,
86,60,20,0.2,9,0.5,0.3,,
87,60,20,0.2,9,0.5,0.5,,
88,60,20,0.2,9,0.5,0.7,,
89,60,20,0.2,9,0.5,0.9,,
90,60,20,0.2,9,0.7,0.1,,
91,60,20,0.2,9,0.7,0.3,,
92,60,20,0.2,9,0.7,0.5,,
93,60,20,0.2,9,0.7,0.7,,
94,60,20,0.2,9,0.7,0.9,,
95,60,20,0.2,9,0.9,0.1,,
96,60,20,0.2,9,0.9,0.3,,
97,60,20,0.2,9,0.9,0.5,,
98,60,20,0.2,9,0.9,0.7,,
99,60,20,0.2,9,0.9,0.9,,
100,60,20,0.2,11,0.1,0.1,,
101,60,20,0.2,11,0.1,0.3,,
102,60,20,0.2,11,0.1,0.5,,
103,60,20,0.2,11,0.1,0.7,,
104,60,20,0.2,11,0.1,0.9,,
105,60,20,0.2,11,0.3,0.1,,
106,60,20,0.2,11,0.3,0.3,,
107,60,20,0.2,11,0.3,0.5,,
108,60,20,0.2,11,0.3,0.7,,
109,60,20,0.2,11,0.3,0.9,,
110,60,20,0.2,11,0.5,0.1,,
111,60,20,0.2,11,0.5,0.3,,
112,60,20,0.2,11,0.5,0.5,,
113,60,20,0.2,11,0.5,0.7,,
114,60,20,0.2,11,0.5,0.9,,
115,60,20,0.2,11,0.7,0.1,,
116,60,20,0.2,11,0.7,0.3,,
117,60,20,0.2,11,0.7,0.5,,
118,60,20,0.2,11,0.7,0.7,,
119,60,20,0.2,11,0.7,0.9,,
120,60,20,0.2,11,0.9,0.1,,
121,60,20,0.2,11,0.9,0.3,,
122,60,20,0.2,11,0.9,0.5,,
123,60,20,0.2,11,0.9,0.7,,
124,60,20,0.2,11,0.9,0.9,,
125,60,20,0.3,3,0.1,0.1,,
126,60,20,0.3,3,0.1,0.3,0.8844444444444444,0.24999999999999994
127,60,20,0.3,3,0.1,0.5,,
128,60,20,0.3,3,0.1,0.7,,
129,60,20,0.3,3,0.1,0.9,,
130,60,20,0.3,3,0.3,0.1,0.9289834348657877,0.2533333333333333
131,60,20,0.3,3,0.3,0.3,0.8846153846153845,0.22666666666666666
132,60,20,0.3,3,0.3,0.5,,
133,60,20,0.3,3,0.3,0.7,,
134,60,20,0.3,3,0.3,0.9,,
135,60,20,0.3,3,0.5,0.1,,
136,60,20,0.3,3,0.5,0.3,,
137,60,20,0.3,3,0.5,0.5,,
138,60,20,0.3,3,0.5,0.7,,
139,60,20,0.3,3,0.5,0.9,,
140,60,20,0.3,3,0.7,0.1,,
141,60,20,0.3,3,0.7,0.3,,
142,60,20,0.3,3,0.7,0.5,,
143,60,20,0.3,3,0.7,0.7,,
144,60,20,0.3,3,0.7,0.9,,
145,60,20,0.3,3,0.9,0.1,,
146,60,20,0.3,3,0.9,0.3,,
147,60,20,0.3,3,0.9,0.5,,
148,60,20,0.3,3,0.9,0.7,,
149,60,20,0.3,3,0.9,0.9,,
150,60,20,0.3,5,0.1,0.1,,
151,60,20,0.3,5,0.1,0.3,,
152,60,20,0.3,5,0.1,0.5,,
153,60,20,0.3,5,0.1,0.7,,
154,60,20,0.3,5,0.1,0.9,,
155,60,20,0.3,5,0.3,0.1,,
156,60,20,0.3,5,0.3,0.3,,
157,60,20,0.3,5,0.3,0.5,,
158,60,20,0.3,5,0.3,0.7,,
159,60,20,0.3,5,0.3,0.9,,
160,60,20,0.3,5,0.5,0.1,,
161,60,20,0.3,5,0.5,0.3,,
162,60,20,0.3,5,0.5,0.5,,
163,60,20,0.3,5,0.5,0.7,,
164,60,20,0.3,5,0.5,0.9,,
165,60,20,0.3,5,0.7,0.1,,
166,60,20,0.3,5,0.7,0.3,,
167,60,20,0.3,5,0.7,0.5,,
168,60,20,0.3,5,0.7,0.7,,
169,60,20,0.3,5,0.7,0.9,,
170,60,20,0.3,5,0.9,0.1,,
171,60,20,0.3,5,0.9,0.3,,
172,60,20,0.3,5,0.9,0.5,,
173,60,20,0.3,5,0.9,0.7,,
174,60,20,0.3,5,0.9,0.9,,
175,60,20,0.3,7,0.1,0.1,,
176,60,20,0.3,7,0.1,0.3,,
177,60,20,0.3,7,0.1,0.5,,
178,60,20,0.3,7,0.1,0.7,,
179,60,20,0.3,7,0.1,0.9,,
180,60,20,0.3,7,0.3,0.1,,
181,60,20,0.3,7,0.3,0.3,,
182,60,20,0.3,7,0.3,0.5,,
183,60,20,0.3,7,0.3,0.7,,
184,60,20,0.3,7,0.3,0.9,,
185,60,20,0.3,7,0.5,0.1,,
186,60,20,0.3,7,0.5,0.3,,
187,60,20,0.3,7,0.5,0.5,,
188,60,20,0.3,7,0.5,0.7,,
189,60,20,0.3,7,0.5,0.9,,
190,60,20,0.3,7,0.7,0.1,,
191,60,20,0.3,7,0.7,0.3,,
192,60,20,0.3,7,0.7,0.5,,
193,60,20,0.3,7,0.7,0.7,,
194,60,20,0.3,7,0.7,0.9,,
195,60,20,0.3,7,0.9,0.1,,
196,60,20,0.3,7,0.9,0.3,,
197,60,20,0.3,7,0.9,0.5,,
198,60,20,0.3,7,0.9,0.7,,
199,60,20,0.3,7,0.9,0.9,,
200,60,20,0.3,9,0.1,0.1,,
201,60,20,0.3,9,0.1,0.3,,
202,60,20,0.3,9,0.1,0.5,,
203,60,20,0.3,9,0.1,0.7,,
204,60,20,0.3,9,0.1,0.9,,
205,60,20,0.3,9,0.3,0.1,,
206,60,20,0.3,9,0.3,0.3,,
207,60,20,0.3,9,0.3,0.5,,
208,60,20,0.3,9,0.3,0.7,,
209,60,20,0.3,9,0.3,0.9,,
210,60,20,0.3,9,0.5,0.1,,
211,60,20,0.3,9,0.5,0.3,,
212,60,20,0.3,9,0.5,0.5,,
213,60,20,0.3,9,0.5,0.7,,
214,60,20,0.3,9,0.5,0.9,,
215,60,20,0.3,9,0.7,0.1,,
216,60,20,0.3,9,0.7,0.3,,
217,60,20,0.3,9,0.7,0.5,,
218,60,20,0.3,9,0.7,0.7,,
219,60,20,0.3,9,0.7,0.9,,
220,60,20,0.3,9,0.9,0.1,,
221,60,20,0.3,9,0.9,0.3,,
222,60,20,0.3,9,0.9,0.5,,
223,60,20,0.3,9,0.9,0.7,,
224,60,20,0.3,9,0.9,0.9,,
225,60,20,0.3,11,0.1,0.1,,
226,60,20,0.3,11,0.1,0.3,,
227,60,20,0.3,11,0.1,0.5,,
228,60,20,0.3,11,0.1,0.7,,
229,60,20,0.3,11,0.1,0.9,,
230,60,20,0.3,11,0.3,0.1,,
231,60,20,0.3,11,0.3,0.3,,
232,60,20,0.3,11,0.3,0.5,,
233,60,20,0.3,11,0.3,0.7,,
234,60,20,0.3,11,0.3,0.9,,
235,60,20,0.3,11,0.5,0.1,,
236,60,20,0.3,11,0.5,0.3,,
